id,cidade_fb,uf_resolvida
1083,Guaraqueçaba,PR
1084,Sertanópolis,PR
1085,Tamarana,PR
1086,Sapopema,PR
1087,Londrina,PR
1088,Ibiporã,PR
1089,Ventania,PR
1090,Teixeira Soares,PR
1091,Londrina,PR
1092,Londrina,PR
1093,Primeiro de Maio,PR
1094,Londrina,PR
1095,São Jerônimo da Serra,PR
1096,Primeiro de Maio,PR
1097,Rolândia,PR
1098,Londrina,PR
1099,Ortigueira,PR
1100,Londrina,PR
1101,Curiúva,PR
1102,Teixeira Soares,PR
1103,Londrina,PR
1104,Londrina,PR
1105,Ibiporã,PR
1106,Londrina,PR
1107,Londrina,PR
1108,Sertanópolis,PR
1109,Arapongas,PR
1110,Cambé,PR
1111,Londrina,PR
